timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.149974,1.30233,1.56723,2.18158,2.77151,0.708067,-0.0217935,0.208379
0.151068,1.28593,1.58648,2.17272,2.76051,0.722925,-0.03121,0.205114
0.152033,1.31368,1.58791,2.18517,2.77706,0.730002,-0.0269799,0.20808
0.153006,1.32336,1.60368,2.17565,2.78732,0.747613,-0.0311491,0.213339
0.153927,1.32332,1.61463,2.20004,2.82795,0.762663,-0.0375856,0.215084
0.155,1.31986,1.6349,2.19439,2.86488,0.768535,-0.0407379,0.216663
0.155994,1.33496,1.65286,2.20792,2.85288,0.777859,-0.0410741,0.219783
0.156952,1.31787,1.64603,2.21339,2.87058,0.785201,-0.0374521,0.219741
0.158002,1.33457,1.64578,2.21286,2.87442,0.790774,-0.0455937,0.222159
0.158923,1.34044,1.64763,2.2269,2.90546,0.801038,-0.0475704,0.225611
0.159992,1.3299,1.68567,2.24172,2.91681,0.805448,-0.0482511,0.229886
0.160959,1.32907,1.67967,2.21808,2.9271,0.814315,-0.0509254,0.235213
0.161944,1.33763,1.70761,2.24896,2.93538,0.81892,-0.0546142,0.237366
0.162948,1.33005,1.71989,2.23523,2.94643,0.820321,-0.049466,0.235143
0.164043,1.33045,1.73214,2.24602,2.9602,0.825078,-0.050111,0.23629
0.165055,1.33645,1.75275,2.24384,2.96814,0.826796,-0.0459965,0.242763
0.166043,1.32207,1.76738,2.24448,2.98785,0.835904,-0.0411888,0.242348
0.166985,1.33056,1.79025,2.25326,2.98452,0.834693,-0.0430842,0.247521
0.168036,1.33361,1.82986,2.26222,2.97655,0.842538,-0.0392697,0.24826
0.169029,1.32902,1.84973,2.27675,2.98555,0.854704,-0.0436205,0.251675
0.170016,1.33867,1.85291,2.28622,3.00291,0.859471,-0.0349581,0.254867
0.17103,1.32882,1.89882,2.2955,2.98138,0.860189,-0.037379,0.254824
0.172012,1.33604,1.89999,2.32465,2.98182,0.869453,-0.036775,0.255848
0.173042,1.32349,1.91695,2.30436,2.95734,0.873414,-0.0343343,0.258392
0.17404,1.3262,1.94424,2.32376,2.96646,0.881433,-0.0345303,0.260778
0.175031,1.34242,1.96845,2.3459,2.97344,0.889146,-0.0322381,0.263045
0.176037,1.3427,1.98068,2.32686,2.97695,0.893178,-0.0231357,0.266486
0.176944,1.32785,1.99992,2.32856,2.97319,0.897457,-0.0256135,0.270028
0.17804,1.3402,2.00082,2.32104,2.94115,0.899384,-0.0225765,0.27154
0.179035,1.3361,2.02877,2.34285,2.95876,0.903606,-0.0213746,0.272635
0.180052,1.35473,2.02339,2.35557,2.96566,0.910232,-0.0234379,0.274863
0.181057,1.3492,2.05176,2.34617,2.93116,0.900696,-0.0194164,0.272213
0.182039,1.3609,2.06778,2.34545,2.93085,0.913502,-0.012539,0.275792
0.183048,1.36011,2.07954,2.33865,2.89122,0.902054,-0.0147839,0.280356
0.183972,1.35315,2.10943,2.3494,2.90942,0.905225,-0.0176332,0.282597
0.184994,1.36447,2.11005,2.34164,2.89762,0.909306,-0.0183228,0.284807
0.186064,1.3596,2.13567,2.33716,2.8844,0.908302,-0.0177656,0.289665
0.187037,1.37042,2.12474,2.3327,2.85139,0.907175,-0.0127127,0.289425
0.188059,1.37398,2.13065,2.34223,2.84012,0.917098,-0.00204179,0.29207
0.188961,1.37065,2.16871,2.35952,2.87476,0.926279,0.00153549,0.294554
0.189983,1.3732,2.17288,2.35609,2.8701,0.930498,0.00270868,0.298022
0.190944,1.3823,2.17973,2.31519,2.81627,0.935119,-0.00596894,0.301615
0.191936,1.35576,2.16617,2.3199,2.82071,0.923545,-0.00701644,0.30344
0.192975,1.35669,2.14538,2.30368,2.79938,0.925396,-0.0120907,0.301934
