timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.159004,1.56642,2.21883,2.46849,2.99419,1.47889,-0.435529,0.275265
0.160042,1.57159,2.25378,2.473,2.99877,1.47368,-0.428855,0.286498
0.16104,1.57117,2.27045,2.48881,3.02174,1.4732,-0.427524,0.28944
0.161975,1.5638,2.29423,2.48428,3.04731,1.46549,-0.433509,0.288344
0.162986,1.57672,2.31854,2.48687,3.03384,1.46211,-0.431594,0.288926
0.164077,1.57972,2.34179,2.49305,3.0417,1.45885,-0.424558,0.295189
0.165087,1.57869,2.35229,2.49795,3.02998,1.45033,-0.415801,0.294372
0.166033,1.57432,2.38137,2.50221,3.05874,1.45545,-0.410626,0.295966
0.167058,1.594,2.40354,2.499,3.05979,1.44669,-0.399524,0.299854
0.168038,1.60257,2.42088,2.50297,3.05223,1.44181,-0.391939,0.297896
0.169037,1.60638,2.44015,2.50042,3.04414,1.43344,-0.384825,0.301564
0.170037,1.60969,2.473,2.47481,3.04424,1.42454,-0.38251,0.306238
0.171042,1.60549,2.50655,2.48968,3.07784,1.42358,-0.382277,0.308477
0.172035,1.6116,2.52324,2.49024,3.07899,1.42098,-0.380621,0.306865
0.172933,1.62362,2.53602,2.48211,3.07702,1.416,-0.37503,0.310729
0.174033,1.63796,2.54857,2.48745,3.05937,1.40768,-0.376428,0.315009
0.175043,1.61279,2.53225,2.47372,3.05803,1.40064,-0.373768,0.317568
0.176042,1.61498,2.55947,2.47787,3.07245,1.40175,-0.374922,0.31897
0.177044,1.62251,2.58793,2.46412,3.05743,1.38912,-0.374695,0.318901
0.17803,1.62452,2.57877,2.45328,3.04263,1.37315,-0.370628,0.323285
0.178928,1.61857,2.57128,2.45912,3.02964,1.36371,-0.360661,0.326082
0.180033,1.6259,2.55713,2.46651,3.00926,1.35885,-0.355602,0.327104
0.18103,1.62493,2.59204,2.4743,3.01302,1.36319,-0.357681,0.32838
0.18203,1.61778,2.6002,2.46584,3.03097,1.35198,-0.356453,0.327672
0.182971,1.62928,2.59363,2.44702,3.00675,1.3426,-0.351796,0.330383
0.184046,1.6116,2.60607,2.43656,3.00511,1.33096,-0.345298,0.334627
0.185033,1.60645,2.60398,2.42095,2.95627,1.33043,-0.34561,0.337588
0.186055,1.60166,2.63669,2.43811,2.95894,1.33205,-0.350335,0.339201
0.187035,1.58959,2.63906,2.43511,2.95086,1.33014,-0.345745,0.341333
0.188028,1.59773,2.65132,2.44585,2.93036,1.31116,-0.345902,0.342532
0.188974,1.57821,2.64138,2.44377,2.90511,1.30367,-0.344118,0.344864
0.189939,1.57839,2.64107,2.43553,2.86705,1.2812,-0.342018,0.342928
0.190966,1.57679,2.65286,2.44675,2.89673,1.28234,-0.341237,0.345105
0.19197,1.58307,2.64765,2.44852,2.88982,1.278,-0.340997,0.348122
0.192928,1.5751,2.65312,2.44082,2.85348,1.26799,-0.338813,0.353045
0.194039,1.56746,2.62253,2.45906,2.83462,1.26057,-0.343321,0.354396
0.195035,1.57207,2.61565,2.45169,2.80914,1.23835,-0.342697,0.360239
0.196035,1.56045,2.62409,2.4654,2.85402,1.24153,-0.345853,0.361191
0.196938,1.55618,2.63243,2.46028,2.814,1.23085,-0.350857,0.361806
0.198037,1.55189,2.63719,2.4391,2.77636,1.21868,-0.356279,0.363979
0.19902,1.53974,2.60446,2.43563,2.77757,1.21962,-0.355444,0.363467
0.200038,1.54176,2.58809,2.44307,2.74509,1.21305,-0.35419,0.361291
0.201037,1.53013,2.59556,2.46613,2.76205,1.21545,-0.356725,0.364456
0.201935,1.52343,2.59399,2.46825,2.75437,1.21745,-0.365339,0.371556
0.202972,1.51674,2.55881,2.46525,2.74265,1.20742,-0.366781,0.372844
0.20402,1.50536,2.53773,2.48321,2.69721,1.19394,-0.36976,0.372087
0.204964,1.49087,2.54286,2.47674,2.67992,1.18543,-0.372045,0.372357
0.205971,1.48541,2.56754,2.50264,2.69764,1.19242,-0.378716,0.373514
0.206929,1.4832,2.55596,2.50498,2.70313,1.18245,-0.37514,0.375894
0.207939,1.46793,2.52748,2.50163,2.67766,1.16982,-0.370789,0.37939
0.208991,1.45691,2.51653,2.51995,2.67125,1.15998,-0.379873,0.382834
0.20996,1.46493,2.45741,2.53244,2.65704,1.14453,-0.382866,0.387127
0.210959,1.469,2.50153,2.5541,2.67881,1.14922,-0.386857,0.388583
0.211964,1.46722,2.50618,2.53337,2.65071,1.13972,-0.392878,0.392301
0.213046,1.45247,2.48355,2.55033,2.63746,1.13017,-0.391421,0.393347
0.214072,1.44022,2.48502,2.53134,2.62682,1.12203,-0.39871,0.394465
0.215056,1.42648,2.4525,2.52566,2.62242,1.11319,-0.401278,0.395534
0.216033,1.41508,2.48623,2.53363,2.63864,1.11094,-0.403864,0.397349
0.217037,1.41123,2.49997,2.51886,2.65706,1.1075,-0.402702,0.400164
0.218019,1.42701,2.47005,2.49963,2.60766,1.08213,-0.403817,0.402069
0.219019,1.42216,2.46666,2.48083,2.60927,1.07133,-0.396406,0.404817
0.220015,1.41795,2.44098,2.49571,2.58756,1.05761,-0.400036,0.402412
0.220932,1.40093,2.46413,2.51277,2.61794,1.05891,-0.406005,0.40318
0.222016,1.39402,2.44556,2.49024,2.60932,1.04932,-0.402374,0.406828
0.223009,1.41061,2.40547,2.48055,2.55951,1.02997,-0.397681,0.40924
0.22402,1.38877,2.38101,2.48835,2.54021,1.02671,-0.398992,0.408244
0.224926,1.37798,2.33328,2.46019,2.51746,1.02476,-0.401369,0.412871
0.225937,1.37292,2.35861,2.47256,2.56375,1.03974,-0.399592,0.413377
0.226934,1.37683,2.36462,2.47635,2.55623,1.02817,-0.396896,0.41575
0.22798,1.36985,2.36125,2.44807,2.50468,1.01317,-0.395596,0.416822
0.228966,1.36768,2.33367,2.433,2.48535,1.00797,-0.389965,0.421258
0.22999,1.35036,2.31601,2.42734,2.45543,1.00158,-0.386212,0.423573
0.230995,1.34159,2.34047,2.45671,2.49293,1.01007,-0.387197,0.424644
0.232035,1.32769,2.34158,2.46102,2.50422,1.00359,-0.387356,0.428312
0.233064,1.3281,2.31117,2.43656,2.45422,1.00077,-0.387674,0.427277
0.234047,1.30321,2.29631,2.42346,2.44641,1.00232,-0.384561,0.427416
0.235017,1.3085,2.27877,2.40408,2.39196,0.995677,-0.37864,0.427491
0.236016,1.30236,2.31071,2.42527,2.39544,1.00177,-0.381877,0.428369
0.236995,1.30864,2.2816,2.40004,2.3865,0.997127,-0.372108,0.432573
0.237991,1.2867,2.23929,2.38517,2.33249,0.993062,-0.367734,0.434005
0.238996,1.30048,2.22095,2.36759,2.29982,0.991608,-0.371976,0.436487
0.240004,1.27521,2.19912,2.35506,2.27098,0.985512,-0.371547,0.438475
0.240995,1.26635,2.2155,2.36199,2.30002,0.995235,-0.373648,0.440321
0.241994,1.27867,2.21062,2.3522,2.28602,0.992121,-0.370035,0.442662
0.243001,1.2777,2.17217,2.31991,2.20595,0.995289,-0.367132,0.445146
0.244002,1.27141,2.13791,2.30101,2.17949,0.991861,-0.363707,0.444915
0.245038,1.27404,2.12897,2.29109,2.13172,0.991108,-0.362875,0.446689
0.246013,1.26631,2.13792,2.30116,2.18543,0.996698,-0.361871,0.44891
0.247036,1.27148,2.12077,2.26768,2.17726,0.996209,-0.369071,0.454596
0.248029,1.25879,2.12134,2.23414,2.12342,0.986832,-0.373746,0.453029
0.249027,1.25434,2.07592,2.21898,2.09691,0.984565,-0.373037,0.453433
0.250019,1.24312,2.04865,2.20255,2.05984,0.978482,-0.370457,0.455777
0.251026,1.23039,2.06514,2.21511,2.10207,0.987386,-0.375707,0.457308
0.251985,1.22479,2.04115,2.19751,2.06622,0.991367,-0.379897,0.459107
0.253033,1.21577,1.99427,2.18824,2.03222,0.983224,-0.371621,0.461484
0.25403,1.1991,1.96583,2.16332,1.99629,0.981557,-0.367129,0.466101
0.255027,1.17396,1.93641,2.1404,1.99528,0.974007,-0.362081,0.466558
0.255978,1.16309,1.9568,2.16246,2.00913,0.984236,-0.36368,0.466124
0.256933,1.15076,1.97428,2.16379,1.98727,0.982228,-0.360613,0.467029
0.258021,1.14972,1.9878,2.13404,1.94489,0.970506,-0.354487,0.470346
0.259001,1.13497,1.97818,2.14256,1.92529,0.972439,-0.351991,0.473634
0.260028,1.11176,1.94142,2.11,1.86829,0.969,-0.342165,0.475282
0.261008,1.10895,1.92789,2.13163,1.88201,0.981253,-0.345641,0.477401
0.262001,1.10916,1.91794,2.12015,1.86031,0.984825,-0.339953,0.476759
0.262997,1.08277,1.92044,2.09996,1.80459,0.975669,-0.336604,0.477089
0.263999,1.06888,1.92386,2.10501,1.7436,0.96895,-0.340849,0.478618
0.264985,1.06465,1.91815,2.0996,1.68686,0.954274,-0.341856,0.480876
0.265993,1.05559,1.93389,2.10992,1.70639,0.959631,-0.342415,0.48225
0.266993,1.06049,1.93365,2.10398,1.65042,0.963055,-0.35498,0.484486
0.268028,1.04505,1.91742,2.07075,1.5897,0.947803,-0.365595,0.489722
0.26902,1.03765,1.91455,2.09516,1.5244,0.942119,-0.355358,0.488205
0.270026,1.03437,1.87122,2.06973,1.50272,0.93521,-0.345737,0.48885
0.270962,1.01396,1.92524,2.07825,1.49233,0.941077,-0.34873,0.489654
0.272015,1.0313,1.90093,2.08091,1.46437,0.932195,-0.331522,0.492309
0.27301,1.0201,1.87683,2.04031,1.3847,0.912532,-0.308951,0.491501
0.273917,1.01056,1.91292,2.03861,1.33088,0.897527,-0.297065,0.490933
0.274923,1.00287,1.943,2.03772,1.27274,0.901378,-0.298536,0.49083
