x,y,z,g
0.33480408,0.01480408,0.1683054,1
0.33469696,0.01469696,0.16789844,1
0.33457002,0.01457002,0.16750303,1
0.33442502,0.01442502,0.16711883,1
0.33426368,0.01426368,0.16674549,1
0.33408775,0.01408775,0.16638268,1
0.33389895,0.01389895,0.16603004,1
0.33369903,0.01369903,0.16568723,1
0.33348973,0.01348973,0.16535391,1
0.33327277,0.01327277,0.16502973,1
0.3330499,0.0130499,0.16471434,1
0.33282285,0.01282285,0.16440741,1
0.33259336,0.01259336,0.16410857,1
0.33236317,0.01236317,0.1638175,1
0.33213401,0.01213401,0.16353384,1
0.33190762,0.01190762,0.16325725,1
0.33168573,0.01168573,0.16298739,1
0.33147009,0.01147009,0.1627239,1
0.33126242,0.01126242,0.16246645,1
0.33106447,0.01106447,0.16221469,1
0.33087798,0.01087797,0.16196827,1
0.33070467,0.01070466,0.16172685,1
0.33054628,0.01054628,0.16149009,1
0.33040456,0.01040456,0.16125763,1
0.33028123,0.01028123,0.16102914,1
0.33017804,0.01017804,0.16080426,1
0.33009672,0.01009672,0.16058266,1
0.33003901,0.01003901,0.16036399,1
0.33000665,0.01000665,0.1601479,1
0.33000135,0.01000135,0.15993404,1
0.3300236,0.0100236,0.15972194,1
0.33007185,0.01007185,0.15951091,1
0.33014438,0.01014438,0.15930023,1
0.33023944,0.01023944,0.15908919,1
0.33035529,0.0103553,0.15887707,1
0.33049021,0.01049021,0.15866317,1
0.33064245,0.01064246,0.15844676,1
0.33081028,0.01081028,0.15822714,1
0.33099195,0.01099196,0.15800359,1
0.33118574,0.01118575,0.15777539,1
0.33138991,0.01138992,0.15754185,1
0.33160272,0.01160273,0.15730223,1
0.33182243,0.01182244,0.15705582,1
0.33204731,0.01204732,0.15680193,1
0.33227562,0.01227563,0.15653982,1
0.33250563,0.01250564,0.15626879,1
0.33273559,0.0127356,0.15598812,1
0.33296377,0.01296378,0.1556971,1
0.33318844,0.01318845,0.15539502,1
0.33340785,0.01340786,0.15508116,1
0.33362028,0.01362029,0.15475481,1
0.33382398,0.01382399,0.15441526,1
0.33401722,0.01401723,0.15406179,1
0.33419826,0.01419827,0.15369369,1
0.33436536,0.01436537,0.15331024,1
0.3345168,0.01451681,0.15291074,1
0.33465082,0.01465083,0.15249446,1
0.3347657,0.01476571,0.1520607,1
0.3348597,0.01485971,0.15160874,1
0.33493108,0.01493109,0.15113787,1
0.33497811,0.01497811,0.15064738,1
0.33499904,0.01499905,0.15013655,1
0.33499239,0.01499238,0.14960481,1
0.33495874,0.01495874,0.14905292,1
0.33489984,0.01489983,0.14848233,1
0.33481741,0.0148174,0.14789452,1
0.33471319,0.01471318,0.14729093,1
0.33458893,0.01458892,0.14667304,1
0.33444635,0.01444634,0.1460423,1
0.3342872,0.01428718,0.14540019,1
0.3341132,0.01411318,0.14474815,1
0.33392611,0.01392608,0.14408765,1
0.33372764,0.01372761,0.14342016,1
0.33351955,0.01351951,0.14274713,1
0.33330356,0.01330352,0.14207004,1
0.33308141,0.01308137,0.14139033,1
0.33285484,0.01285481,0.14070948,1
0.33262559,0.01262555,0.14002895,1
0.33239539,0.01239535,0.1393502,1
0.33216598,0.01216594,0.13867468,1
0.3319391,0.01193906,0.13800387,1
0.33171648,0.01171643,0.13733923,1
0.33149985,0.01149981,0.13668222,1
0.33129097,0.01129092,0.13603429,1
0.33109155,0.01109151,0.13539692,1
0.33090334,0.0109033,0.13477157,1
0.33072808,0.01072804,0.13415969,1
0.3305675,0.01056747,0.13356276,1
0.33042334,0.01042331,0.13298222,1
0.33029733,0.01029731,0.13241955,1
0.33019122,0.0101912,0.13187621,1
0.33010673,0.01010671,0.13135366,1
0.33004561,0.0100456,0.13085336,1
0.33000959,0.01000958,0.13037678,1
0.3300004,0.01000041,0.12992537,1
0.33001887,0.01001888,0.12949977,1
0.33006359,0.01006361,0.12909862,1
0.33013282,0.01013285,0.12872026,1
0.33022483,0.01022487,0.12836301,1
0.33033788,0.01033793,0.12802523,1
0.33047023,0.01047029,0.12770523,1
0.33062015,0.01062022,0.12740138,1
0.3307859,0.01078597,0.12711199,1
0.33096574,0.01096583,0.12683541,1
0.33115794,0.01115803,0.12656997,1
0.33136075,0.01136086,0.12631402,1
0.33157246,0.01157257,0.12606588,1
0.33179131,0.01179143,0.1258239,1
0.33201557,0.0120157,0.12558641,1
0.3322435,0.01224364,0.12535175,1
0.33247337,0.01247352,0.12511826,1
0.33270345,0.0127036,0.12488427,1
0.33293198,0.01293214,0.12464812,1
0.33315725,0.0131574,0.12440816,1
0.3333775,0.01337766,0.1241627,1
0.33359101,0.01359117,0.1239101,1
0.33379604,0.01379619,0.12364869,1
0.33399085,0.013991,0.12337681,1
0.3341737,0.01417384,0.12309279,1
0.33434286,0.014343,0.12279497,1
0.3344966,0.01449672,0.12248169,1
0.33463316,0.01463328,0.12215128,1
0.33475083,0.01475093,0.12180209,1
0.33484786,0.01484794,0.12143245,1
0.33492251,0.01492257,0.12104069,1
0.33497305,0.01497309,0.12062516,1
0.33499775,0.01499776,0.12018419,1
0.33499498,0.01499497,0.11971623,1
0.33496501,0.01496497,0.11922158,1
0.33490954,0.01490946,0.1187019,1
0.33483031,0.01483019,0.11815891,1
0.33472904,0.01472888,0.11759433,1
0.33460748,0.01460728,0.11700988,1
0.33446736,0.01446713,0.11640726,1
0.33431042,0.01431015,0.1157882,1
0.3341384,0.01413809,0.11515442,1
0.33395304,0.01395269,0.11450762,1
0.33375606,0.01375567,0.11384952,1
0.33354921,0.01354879,0.11318185,1
0.33333422,0.01333377,0.11250631,1
0.33311283,0.01311235,0.11182462,1
0.33288678,0.01288627,0.1111385,1
0.3326578,0.01265726,0.11044966,1
0.33242763,0.01242707,0.10975982,1
0.332198,0.01219743,0.1090707,1
0.33197066,0.01197008,0.10838401,1
0.33174734,0.01174675,0.10770146,1
0.33152977,0.01152918,0.10702478,1
0.33131969,0.01131911,0.10635568,1
0.33111885,0.01111828,0.10569587,1
0.33092896,0.01092841,0.10504708,1
