x,y,z
0.40280683,0.01743030,0.53528644
0.40281850,0.01745488,0.53532845
0.40283019,0.01747946,0.53537044
0.40284190,0.01750403,0.53541240
0.40285363,0.01752861,0.53545434
0.40286538,0.01755318,0.53549625
0.40287715,0.01757776,0.53553814
0.40288894,0.01760233,0.53558001
0.40290075,0.01762690,0.53562186
0.40291258,0.01765147,0.53566368
0.40292443,0.01767604,0.53570548
0.40293630,0.01770061,0.53574726
0.40294819,0.01772518,0.53578901
0.40296010,0.01774974,0.53583074
0.40297203,0.01777431,0.53587245
0.40298398,0.01779888,0.53591413
0.40299595,0.01782344,0.53595579
0.40300794,0.01784800,0.53599743
0.40301995,0.01787256,0.53603905
0.40303198,0.01789713,0.53608064
0.40304403,0.01792169,0.53612221
0.40305610,0.01794624,0.53616375
0.40306819,0.01797080,0.53620528
0.40308030,0.01799536,0.53624678
0.40309243,0.01801992,0.53628825
0.40310458,0.01804447,0.53632971
0.40311675,0.01806903,0.53637114
0.40312894,0.01809358,0.53641255
0.40314115,0.01811813,0.53645393
0.40315338,0.01814269,0.53649529
0.40316563,0.01816724,0.53653663
0.40317790,0.01819179,0.53657795
0.40319019,0.01821634,0.53661924
0.40320250,0.01824088,0.53666051
0.40321483,0.01826543,0.53670176
0.40322718,0.01828998,0.53674298
0.40323955,0.01831452,0.53678419
0.40325193,0.01833907,0.53682536
0.40326434,0.01836361,0.53686652
0.40327677,0.01838815,0.53690765
0.40328922,0.01841269,0.53694876
0.40330169,0.01843724,0.53698985
0.40331417,0.01846177,0.53703091
0.40332668,0.01848631,0.53707195
0.40333921,0.01851085,0.53711297
0.40335175,0.01853539,0.53715397
0.40336432,0.01855992,0.53719494
0.40337691,0.01858446,0.53723589
0.40338951,0.01860899,0.53727681
0.40340214,0.01863353,0.53731772
0.40341478,0.01865806,0.53735860
0.40342745,0.01868259,0.53739945
0.40344013,0.01870712,0.53744029
0.40345284,0.01873165,0.53748110
0.40346556,0.01875618,0.53752189
0.40347831,0.01878071,0.53756265
0.40349107,0.01880523,0.53760340
0.40350385,0.01882976,0.53764412
0.40351665,0.01885429,0.53768481
0.40352948,0.01887881,0.53772549
0.40354232,0.01890333,0.53776614
0.40355518,0.01892786,0.53780677
0.40356806,0.01895238,0.53784738
0.40358096,0.01897690,0.53788796
0.40359388,0.01900142,0.53792852
0.40360682,0.01902594,0.53796906
0.40361978,0.01905045,0.53800957
0.40363276,0.01907497,0.53805006
0.40364576,0.01909949,0.53809053
0.40365878,0.01912400,0.53813098
0.40367182,0.01914851,0.53817140
0.40368488,0.01917303,0.53821180
0.40369795,0.01919754,0.53825218
0.40371105,0.01922205,0.53829254
0.40372417,0.01924656,0.53833287
0.40373730,0.01927107,0.53837318
0.40375046,0.01929558,0.53841346
