x,y,z
0.54024665,-0.01712012,0.51380573
0.54031767,-0.01715062,0.51384900
0.54038862,-0.01718109,0.51389232
0.54045950,-0.01721154,0.51393569
0.54053030,-0.01724196,0.51397911
0.54060104,-0.01727236,0.51402258
0.54067171,-0.01730273,0.51406610
0.54074231,-0.01733308,0.51410967
0.54081284,-0.01736340,0.51415329
0.54088330,-0.01739369,0.51419696
0.54095369,-0.01742396,0.51424068
0.54102401,-0.01745420,0.51428445
0.54109426,-0.01748442,0.51432826
0.54116444,-0.01751461,0.51437213
0.54123455,-0.01754478,0.51441605
0.54130459,-0.01757492,0.51446002
0.54137457,-0.01760503,0.51450404
0.54144447,-0.01763512,0.51454810
0.54151430,-0.01766519,0.51459222
0.54158407,-0.01769523,0.51463638
0.54165376,-0.01772524,0.51468060
0.54172339,-0.01775523,0.51472486
0.54179295,-0.01778519,0.51476918
0.54186243,-0.01781513,0.51481354
0.54193185,-0.01784504,0.51485795
0.54200120,-0.01787492,0.51490241
0.54207048,-0.01790479,0.51494692
0.54213969,-0.01793462,0.51499148
0.54220883,-0.01796443,0.51503609
0.54227790,-0.01799422,0.51508074
0.54234690,-0.01802398,0.51512545
0.54241583,-0.01805371,0.51517021
0.54248469,-0.01808342,0.51521501
0.54255349,-0.01811311,0.51525986
0.54262221,-0.01814277,0.51530476
0.54269087,-0.01817240,0.51534971
0.54275945,-0.01820201,0.51539471
0.54282797,-0.01823159,0.51543976
0.54289642,-0.01826115,0.51548485
0.54296480,-0.01829069,0.51553000
0.54303311,-0.01832020,0.51557519
0.54310135,-0.01834968,0.51562043
0.54316952,-0.01837914,0.51566572
0.54323762,-0.01840857,0.51571105
0.54330566,-0.01843798,0.51575644
0.54337362,-0.01846737,0.51580187
0.54344152,-0.01849673,0.51584736
0.54350935,-0.01852606,0.51589289
0.54357710,-0.01855538,0.51593846
0.54364479,-0.01858466,0.51598409
0.54371241,-0.01861392,0.51602976
0.54377996,-0.01864316,0.51607549
0.54384745,-0.01867237,0.51612126
0.54391486,-0.01870156,0.51616707
0.54398221,-0.01873072,0.51621294
0.54404948,-0.01875986,0.51625885
0.54411669,-0.01878897,0.51630481
0.54418383,-0.01881806,0.51635082
0.54425090,-0.01884712,0.51639688
0.54431790,-0.01887616,0.51644298
0.54438483,-0.01890518,0.51648913
0.54445169,-0.01893417,0.51653533
0.54451849,-0.01896314,0.51658158
0.54458521,-0.01899208,0.51662787
0.54465187,-0.01902099,0.51667421
0.54471846,-0.01904989,0.51672060
0.54478498,-0.01907876,0.51676703
0.54485143,-0.01910760,0.51681352
0.54491781,-0.01913642,0.51686004
0.54498413,-0.01916522,0.51690662
0.54505038,-0.01919399,0.51695324
0.54511655,-0.01922274,0.51699992
0.54518266,-0.01925146,0.51704663
0.54524870,-0.01928016,0.51709340
0.54531467,-0.01930883,0.51714021
0.54538058,-0.01933749,0.51718707
0.54544641,-0.01936611,0.51723397
0.54551218,-0.01939471,0.51728092
0.54557788,-0.01942329,0.51732792
0.54564351,-0.01945185,0.51737497
0.54570907,-0.01948038,0.51742206
0.54577456,-0.01950889,0.51746919
0.54583999,-0.01953737,0.51751638
0.54590534,-0.01956583,0.51756361
0.54597063,-0.01959426,0.51761089
0.54603585,-0.01962267,0.51765821
0.54610100,-0.01965106,0.51770558
0.54616609,-0.01967942,0.51775300
0.54623110,-0.01970776,0.51780046
0.54629605,-0.01973608,0.51784797
0.54636093,-0.01976437,0.51789552
0.54642574,-0.01979264,0.51794312
0.54649048,-0.01982088,0.51799077
0.54655515,-0.01984910,0.51803846
0.54661976,-0.01987730,0.51808620
0.54668430,-0.01990547,0.51813398
0.54674877,-0.01993362,0.51818181
0.54681317,-0.01996175,0.51822969
0.54687750,-0.01998985,0.51827761
0.54694177,-0.02001793,0.51832558
0.54700597,-0.02004599,0.51837359
0.54707010,-0.02007402,0.51842165
0.54713416,-0.02010203,0.51846975
0.54719815,-0.02013001,0.51851790
